DATES,BLOCK,LATITUDE,LONGITUDE,TEMPERATURE( C)- Maximum,TEMPERATURE( C)- Minimum,Temperature-Advisory Data,Temperature(Max)- Real,Temperature(Min)- Real,Temperature-Realtime Data,HUMIDITY(%)- Maximum,HUMIDITY(%)- Minimum,Humidity-Advisory Data,Humidity- Realtime Data,PRECIPITATION(mm),WIND DIRECTION,WIND SPEED(km/h),STRENGTH,COORDINATE
01-02-2024,Patharpratima,21.79206941,88.3555912,16,17,16.5,22.25,17.75,20,83,66,74.5,90.25,0,SW,17,15 to 20,
02-02-2024,Patharpratima,21.79206941,88.3555912,22,16,19,24.5,21,22.75,89,72,80.5,80.25,1,S,17,15 to 20,
03-02-2024,Patharpratima,21.79206941,88.3555912,22,15,18.5,24.25,20.25,22.25,93,82,87.5,68.25,3,S,17,15 to 20,
04-02-2024,Patharpratima,21.79206941,88.3555912,25,15,20,24.75,19.25,22,88,47,67.5,64.5,0,S,12,10 to 15,
05-02-2024,Patharpratima,21.79206941,88.3555912,25,15,20,24.75,20.5,22.625,66,46,56,66.25,0,SW,9,7 to 10,
01-02-2024,Gosaba,22.16557075,88.80817531,25,16,20.5,22.25,20.25,21.25,84,33,58.5,90.25,0,S,14,10 to 15,
02-02-2024,Gosaba,22.16557075,88.80817531,24,15,19.5,24.5,21,22.75,86,45,65.5,80.25,1,S,13,10 to 15,
03-02-2024,Gosaba,22.16557075,88.80817531,22,16,19,24.25,20.25,22.25,94,58,76,68.25,3,S,12,10 to 15,
04-02-2024,Gosaba,22.16557075,88.80817531,26,14,20,24.75,19.25,22,82,30,56,64.5,0,N,10,10 to 15,
05-02-2024,Gosaba,22.16557075,88.80817531,25,14,19.5,24.75,20.5,22.625,38,17,27.5,66.25,0,NW,10,10 to 15,
01-02-2024,Kultali,21.8820151,88.5265151,26,18,22,22.25,20.25,21.25,78,47,62.5,90.25,0,S,13,10 to 15,
02-02-2024,Kultali,21.8820151,88.5265151,27,18,22.5,24.5,21,22.75,78,37,57.5,80.25,0,S,10,10 to 15,
03-02-2024,Kultali,21.8820151,88.5265151,24,16,20,24.25,20.25,22.25,86,47,66.5,68.25,5,S,12,10 to 15,
04-02-2024,Kultali,21.8820151,88.5265151,24,17,20.5,24.75,19.25,22,75,45,60,64.5,0,N,8,7 to 10,
05-02-2024,Kultali,21.8820151,88.5265151,24,17,20.5,24.75,20.5,22.625,84,59,71.5,69,0,NW,10,10 to 15,
06-02-2024,Patharpratima,21.79206941,88.3555912,27,19,23,25,22,23.5,84,49,66.5,84,0,SW,12,10 to 15,
07-02-2024,Patharpratima,21.79206941,88.3555912,26,19,22.5,23.25,20.25,21.75,88,60,74,71.75,0,SW,15,15 to 20,
08-02-2024,Patharpratima,21.79206941,88.3555912,27,18,22.5,22.5,17.75,20.125,73,43,58,55,0,N,12,10 to 15,
09-02-2024,Patharpratima,21.79206941,88.3555912,26,16,21,21.25,16.25,18.75,53,37,45,56.5,0,N,14,10 to 15,
10-02-2024,Patharpratima,21.79206941,88.3555912,25,15,20,22.25,17,19.625,42,36,39,57.25,0,N,17,15 to 20,
06-02-2024,Gosaba,22.16557075,88.80817531,28,18,23,25,22,23.5,73,26,49.5,84,0,NW,10,10 to 15,
07-02-2024,Gosaba,22.16557075,88.80817531,29,19,24,23.25,20.25,21.75,87,39,63,71.75,0,SW,13,10 to 15,
08-02-2024,Gosaba,22.16557075,88.80817531,28,17,22.5,22.5,17.75,20.125,48,27,37.5,55,0,N,11,10 to 15,
09-02-2024,Gosaba,22.16557075,88.80817531,26,14,20,21.25,16.25,18.75,30,18,24,56.5,0,N,13,10 to 15,
10-02-2024,Gosaba,22.16557075,88.80817531,25,13,19,22.25,17,19.625,35,16,25.5,57.25,0,N,13,10 to 15,
06-02-2024,Kultali,21.8820151,88.5265151,27,20,23.5,25,22,23.5,77,26,51.5,84,0,SW,9,7 to 10,
07-02-2024,Kultali,21.8820151,88.5265151,28,19,23.5,23.25,20.25,21.75,86,42,64,71.75,0,SW,13,10 to 15,
08-02-2024,Kultali,21.8820151,88.5265151,28,17,22.5,22.5,17.75,20.125,50,27,38.5,55,0,N,11,10 to 15,
09-02-2024,Kultali,21.8820151,88.5265151,26,15,20.5,21.25,16.25,18.75,29,18,23.5,56.5,0,N,13,10 to 15,
10-02-2024,Kultali,21.8820151,88.5265151,26,14,20,22.25,17,19.625,30,18,24,57.25,0,NW,13,10 to 15,
11-02-2024,Patharpratima,21.79206941,88.3555912,26,17,21.5,23.5,18.25,20.875,46,41,43.5,56,0,N,14,10 to 15,
12-02-2024,Patharpratima,21.79206941,88.3555912,27,19,23,24.5,19.75,22.125,64,46,55,60.5,0,W,7,7 to 10,
13-02-2024,Patharpratima,21.79206941,88.3555912,27,20,23.5,24.5,15.5,20,63,43,53,67.5,0,SW,8,7 to 10,
14-02-2024,Patharpratima,21.79206941,88.3555912,27,20,23.5,25.25,20.5,22.875,69,48,58.5,72.75,0,SW,11,10 to 15,
15-02-2024,Patharpratima,21.79206941,88.3555912,26,20,23,25.75,21.5,23.625,74,55,64.5,74.25,0,SW,14,10 to 15,
11-02-2024,Gosaba,22.16557075,88.80817531,26,15,20.5,23.5,18.25,20.875,44,19,31.5,56,0,N,12,10 to 15,
12-02-2024,Gosaba,22.16557075,88.80817531,27,18,22.5,24.5,19.75,22.125,32,17,24.5,60.5,0,N,9,7 to 10,
13-02-2024,Gosaba,22.16557075,88.80817531,28,18,23,24.5,20,22.25,41,18,29.5,67.5,0,SW,6,0 to 7,
14-02-2024,Gosaba,22.16557075,88.80817531,29,19,24,25.25,20.5,22.875,51,21,36,72.75,0,SW,10,10 to 15,
15-02-2024,Gosaba,22.16557075,88.80817531,30,18,24,25.75,21.5,23.625,58,26,42,74.25,0,SW,11,10 to 15,
11-02-2024,Kultali,21.8820151,88.5265151,26,15,20.5,23.5,18.25,20.875,42,18,30,56,0,N,11,10 to 15,
12-02-2024,Kultali,21.8820151,88.5265151,27,18,22.5,24.5,19.75,22.125,29,18,23.5,60.5,0,N,8,7 to 10,
13-02-2024,Kultali,21.8820151,88.5265151,28,19,23.5,24.5,20,22.25,39,18,28.5,67.5,0,SW,6,0 to 7,
14-02-2024,Kultali,21.8820151,88.5265151,29,25,27,25.25,20.5,22.875,22,18,20,72.75,0,SW,10,10 to 15,
15-02-2024,Kultali,21.8820151,88.5265151,26,14,20,25.75,21.5,23.625,30,18,24,74.25,0,SW,13,10 to 15,
21-02-2024,Patharpratima,21.79206941,88.3555912,26,20,23,29,24.25,26.625,85,77,81,67.75,0,SW,23,20 to 25,
22-02-2024,Patharpratima,21.79206941,88.3555912,26,20,23,25.75,23,24.375,86,73,79.5,83.75,0,SW,27,25 to 30,
23-02-2024,Patharpratima,21.79206941,88.3555912,26,20,23,25.75,22,23.875,87,77,82,71.5,0,SW,34,30 to 35,
24-02-2024,Patharpratima,21.79206941,88.3555912,25,22,23.5,25.5,21.75,23.625,93,87,90,65,0,SE,14,10 to 15,
25-02-2024,Patharpratima,21.79206941,88.3555912,26,22,24,24,21.25,22.625,84,71,77.5,67.5,0,SE,14,10 to 15,
21-02-2024,Gosaba,22.16557075,88.80817531,30,20,25,29,24.25,26.625,85,35,60,67.75,0,SW,20,20 to 25,
22-02-2024,Gosaba,22.16557075,88.80817531,30,23,26.5,25.75,23,24.375,75,36,55.5,83.75,0,SW,24,20 to 25,
23-02-2024,Gosaba,22.16557075,88.80817531,29,21,25,25.75,22,23.875,86,42,64,71.5,0,SW,27,25 to 30,
24-02-2024,Gosaba,22.16557075,88.80817531,27,20,23.5,25.5,21.75,23.625,85,65,75,65,0,SE,13,10 to 15,
25-02-2024,Gosaba,22.16557075,88.80817531,29,21,25,24.5,21.25,22.875,78,55,66.5,67.5,0,SE,11,10 to 15,
21-02-2024,Kultali,21.8820151,88.5265151,31,24,27.5,29,24.25,26.625,78,56,67,67.75,0,SW,18,15 to 20,
22-02-2024,Kultali,21.8820151,88.5265151,29,23,26,25.75,23,24.375,85,70,77.5,83.75,0,SW,26,25 to 30,
23-02-2024,Kultali,21.8820151,88.5265151,29,21,25,25.75,22,23.875,78,60,69,71.5,0,SW,18,15 to 20,
24-02-2024,Kultali,21.8820151,88.5265151,28,20,24,25.5,21.75,23.625,81,59,70,65,0,NE,13,10 to 15,
25-02-2024,Kultali,21.8820151,88.5265151,29,21,25,24,21.25,22.625,71,50,60.5,67.5,0,SE,10,10 to 15,
26-02-2024,Patharpratima,21.79206941,88.3555912,31,19,25,25,20,22.5,67,49,58,64.75,0,E,13,10 to 15,
27-02-2024,Patharpratima,21.79206941,88.3555912,31,20,25.5,17.5,21.75,19.625,65,47,56,54.25,0,N,11,10 to 15,
28-02-2024,Patharpratima,21.79206941,88.3555912,28,19,23.5,26.25,22.75,24.5,64,53,58.5,64.75,0,NE,11,10 to 15,
29-02-2024,Patharpratima,21.79206941,88.3555912,29,24,26.5,27.25,22.75,25,84,64,74,59.25,0,SW,13,10 to 15,
01-03-2024,Patharpratima,21.79206941,88.3555912,28,24,26,27.5,22,24.75,84,64,74,60.75,0,SW,13,10 to 15,
26-02-2024,Gosaba,22.16557075,88.80817531,29,18,23.5,25,20,22.5,42,25,33.5,64.75,0,NE,14,10 to 15,
27-02-2024,Gosaba,22.16557075,88.80817531,30,20,25,25.5,21.75,23.625,40,22,31,54.25,0,NE,12,10 to 15,
28-02-2024,Gosaba,22.16557075,88.80817531,24,18,21,27,22.75,24.875,55,40,47.5,64.75,0,NE,9,7 to 10,
29-02-2024,Gosaba,22.16557075,88.80817531,31,22,26.5,27.25,22.5,24.875,73,41,57,59.25,0,NW,11,10 to 15,
01-03-2024,Gosaba,22.16557075,88.80817531,31,21,26,27.5,22,24.75,72,42,57,60.75,0,NW,11,10 to 15,
26-02-2024,Kultali,21.8820151,88.5265151,28,19,23.5,25,20,22.5,43,34,38.5,64.75,0,NE,13,10 to 15,
27-02-2024,Kultali,21.8820151,88.5265151,29,19,24,25.5,21.75,23.625,43,27,35,54.25,0,NE,10,10 to 15,
28-02-2024,Kultali,21.8820151,88.5265151,30,20,25,26.25,22.75,24.5,56,25,40.5,64.75,0,W,8,10 to 15,
29-02-2024,Kultali,21.8820151,88.5265151,31,21,26,27.25,22.75,25,66,40,53,59.25,0,NW,10,10 to 15,
01-03-2024,Kultali,21.8820151,88.5265151,32,21,26.5,27.5,22,24.75,63,37,50,60.75,0,NW,11,10 to 15,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,o,,,,,,,,
